prev_owner,new_owner,nft_address,col_address,price
003A5814DB9DCF0EB7C792242351870AD0A646749A2AEE7A3C38408E46151892,71E79A42BFB7E55EFC18A8ACAA57D7AADA7E4A2E4D47DF831AA88FF92536C2E7,70A8B07C8C948294614BBE2E522463E9C7E37BA0520EF9145E39E71D0913CCD8,80D78A35F955A14B679FAA887FF4CD5BFC0F43B4A4EEA2A7E6927F3701B273C2,6985652010
9E6CF901E5EEFAC0B83D4B895597661B3ECDC189D62F5C05161940851400EB18,69C00189F50AE2E7219273F2A327DFF5E5B6CD1AA6F228FE39D2D230FB06BEB0,84FD9EF7ACC8BF0038A5FC0B376C3ABE966402E5342259F99065F4FC6F33B93C,80D78A35F955A14B679FAA887FF4CD5BFC0F43B4A4EEA2A7E6927F3701B273C2,14893808306
9E6CF901E5EEFAC0B83D4B895597661B3ECDC189D62F5C05161940851400EB18,69C00189F50AE2E7219273F2A327DFF5E5B6CD1AA6F228FE39D2D230FB06BEB0,84FD9EF7ACC8BF0038A5FC0B376C3ABE966402E5342259F99065F4FC6F33B93C,80D78A35F955A14B679FAA887FF4CD5BFC0F43B4A4EEA2A7E6927F3701B273C2,14893808306
D66AD2E66D82F6396F478C6FA021B532568079AD93F5117054F5BCD323F7EA2B,CE1EB8C9B821451F99B95DABC24C6D5E818DC3D381DF9663CC39472348713DAD,08192D40C9DA4AD31DB07BBA24FF040FFE1786CAEBD08E7399E1E30345514E87,80D78A35F955A14B679FAA887FF4CD5BFC0F43B4A4EEA2A7E6927F3701B273C2,9857965532
D66AD2E66D82F6396F478C6FA021B532568079AD93F5117054F5BCD323F7EA2B,CE1EB8C9B821451F99B95DABC24C6D5E818DC3D381DF9663CC39472348713DAD,08192D40C9DA4AD31DB07BBA24FF040FFE1786CAEBD08E7399E1E30345514E87,80D78A35F955A14B679FAA887FF4CD5BFC0F43B4A4EEA2A7E6927F3701B273C2,9857965532
D66AD2E66D82F6396F478C6FA021B532568079AD93F5117054F5BCD323F7EA2B,CE1EB8C9B821451F99B95DABC24C6D5E818DC3D381DF9663CC39472348713DAD,BE389154FEF59C0EAF15966DB3D2A76D2D977E558B12D24FBC7711F62D1977CB,80D78A35F955A14B679FAA887FF4CD5BFC0F43B4A4EEA2A7E6927F3701B273C2,14904336909
401CF1EFC281FAF2F86BEC694EA85D5464864FB8EC3AC310FD65BFAE2397E89A,849827C51A437DD8E892206CCCE61392F988B19E8060343C43FD8E9D091C10FB,78C8F997FDCE4326A00D8751649A885712F70B309295E7ADC65FE9BAAA0B5CB8,80D78A35F955A14B679FAA887FF4CD5BFC0F43B4A4EEA2A7E6927F3701B273C2,6905187018
34FCCDFD8F3813C4E03E27BAA9CE5A470E08A6BA91B9F1530DDF3C48AC0B628B,21EAAB98FCECA139FFD2F571451077EE737EB060C5907DF3F098D57F1EB363B3,5CCD8614275EC107CE8374E1954A8302BFF25DB92F25A72C605D5CAFE5C42313,80D78A35F955A14B679FAA887FF4CD5BFC0F43B4A4EEA2A7E6927F3701B273C2,7980946174
89D7C5DBA5E8535DED913FB55CFE2969AB747AB5E3E45498841A240F41730352,8C6CF968062A214A81FA954987BA05F279078505E105944524AF70FF6D34B16F,ADD340F53A68A98470830E98EE9500745C70D044E46BBFF7B8181A7533D485B2,80D78A35F955A14B679FAA887FF4CD5BFC0F43B4A4EEA2A7E6927F3701B273C2,30928466852
6929DF134FB0249E67998AAE9181AB1E8FF51FD5667BE0630166A09C82DB31D9,FEC65C30B71C12DEE48DCEA9C4E94CC8C0B5A544AF7C74A34613C149ABBAF57B,A578906AB53CEF23D783DFD1A23E6F0A3AD1A2D1C3AAE8EBB4A9AE6C0E035D7D,80D78A35F955A14B679FAA887FF4CD5BFC0F43B4A4EEA2A7E6927F3701B273C2,9981889785
